"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.184768327E1,6.498261056E1,2.552140593E1,1.070176073E1,1.470000029E0,1.291000061E2,3.790092468E0,2.500000000E0
4.285467048E1,6.498260148E1,2.552142810E1,1.101577530E1,1.429999948E0,1.306999969E2,3.790092468E0,2.500000000E0
4.385269899E1,6.498259124E1,2.552144960E1,1.098915167E1,1.429999948E0,1.298999939E2,3.790092468E0,2.500000000E0
4.485032639E1,6.498258282E1,2.552147243E1,1.063147486E1,1.279999971E0,1.265999985E2,3.790092468E0,2.500000000E0
4.585467059E1,6.498257372E1,2.552150086E1,1.032848418E1,1.549999952E0,1.278000031E2,3.790092468E0,2.500000000E0
4.685467085E1,6.498256520E1,2.552152561E1,1.041642470E1,1.389999986E0,1.306000061E2,3.790092468E0,2.500000000E0
4.785467147E1,6.498255606E1,2.552155017E1,1.026980657E1,1.490000010E0,1.300000000E2,3.790092468E0,2.500000000E0
4.885466960E1,6.498254691E1,2.552157466E1,1.096803707E1,1.450000048E0,1.306000061E2,3.790092468E0,2.500000000E0
4.985467147E1,6.498253754E1,2.552159801E1,1.044257367E1,1.340000033E0,1.321999969E2,3.790092468E0,2.500000000E0
5.085467100E1,6.498252871E1,2.552162055E1,1.016088529E1,1.340000033E0,1.341000061E2,3.790092468E0,2.500000000E0
5.185635441E1,6.498251866E1,2.552164306E1,9.911727519E0,1.370000005E0,1.328999939E2,3.790092468E0,2.500000000E0
5.285238857E1,6.498250886E1,2.552166469E1,9.967440704E0,1.389999986E0,1.355000000E2,3.790092468E0,2.500000000E0
5.385388045E1,6.498249753E1,2.552168580E1,9.559529494E0,1.389999986E0,1.370000000E2,3.790092468E0,2.500000000E0
5.484890675E1,6.498248654E1,2.552170806E1,9.153022257E0,1.429999948E0,1.366000061E2,3.790092468E0,2.500000000E0
5.584915097E1,6.498247601E1,2.552172927E1,9.062433551E0,1.399999976E0,1.376000061E2,3.790092468E0,2.500000000E0
5.685060524E1,6.498246511E1,2.552175057E1,9.260052499E0,1.480000019E0,1.425000000E2,3.790092468E0,2.500000000E0
5.785467111E1,6.498245416E1,2.552176870E1,8.932159123E0,1.389999986E0,1.455000000E2,3.790092468E0,2.500000000E0
5.885221149E1,6.498244375E1,2.552178761E1,8.926959015E0,1.480000019E0,1.410000000E2,3.790092468E0,2.500000000E0
5.985466975E1,6.498243443E1,2.552180664E1,8.716132458E0,1.330000043E0,1.410000000E2,3.790092468E0,2.500000000E0
6.085466652E1,6.498242422E1,2.552182482E1,8.823237318E0,1.309999943E0,1.411999969E2,3.790092468E0,2.500000000E0
6.185237248E1,6.498241470E1,2.552184433E1,8.356490102E0,1.370000005E0,1.398000031E2,3.790092468E0,2.500000000E0
6.285467012E1,6.498240604E1,2.552186509E1,8.116916368E0,1.340000033E0,1.363000031E2,3.790092468E0,2.500000000E0
6.385467100E1,6.498239748E1,2.552188706E1,8.352684365E0,1.399999976E0,1.381999969E2,3.790092468E0,2.500000000E0
6.485467095E1,6.498238824E1,2.552190859E1,8.333019661E0,1.389999986E0,1.388000031E2,3.790092468E0,2.500000000E0
6.585221472E1,6.498237838E1,2.552192881E1,7.878845279E0,1.399999976E0,1.406999969E2,3.790092468E0,2.500000000E0
6.685425086E1,6.498236819E1,2.552194946E1,7.721240358E0,1.409999967E0,1.410000000E2,3.790092468E0,2.500000000E0
6.785467007E1,6.498235884E1,2.552196840E1,7.501014370E0,1.299999952E0,1.415000000E2,3.790092468E0,2.500000000E0
6.885485695E1,6.498234783E1,2.552198625E1,7.236780642E0,1.360000014E0,1.480000000E2,3.790092468E0,2.500000000E0
6.985478117E1,6.498233572E1,2.552200362E1,6.983166077E0,1.440000057E0,1.506999969E2,3.790092468E0,2.500000000E0
7.085467095E1,6.498232321E1,2.552202064E1,6.818296304E0,1.429999948E0,1.516999969E2,3.790092468E0,2.500000000E0
7.185334117E1,6.498231046E1,2.552203592E1,6.438460719E0,1.490000010E0,1.521000061E2,3.790092468E0,2.500000000E0
7.285450851E1,6.498229751E1,2.552204547E1,6.610688691E0,1.500000000E0,1.603999939E2,3.790092468E0,2.500000000E0
7.385238841E1,6.498228495E1,2.552205004E1,6.516377153E0,1.429999948E0,1.670000000E2,3.790092468E0,2.500000000E0
7.485467095E1,6.498227235E1,2.552205377E1,6.547676039E0,1.450000048E0,1.688999939E2,3.790092468E0,2.500000000E0
7.585206487E1,6.498226065E1,2.552205900E1,6.628536108E0,1.330000043E0,1.686000061E2,3.790092468E0,2.500000000E0
7.685287789E1,6.498224899E1,2.552206380E1,6.722762970E0,1.399999976E0,1.706000061E2,3.790092468E0,2.500000000E0
7.785467074E1,6.498223754E1,2.552206653E1,6.929050845E0,1.370000005E0,1.738000031E2,3.790092468E0,2.500000000E0
7.885339643E1,6.498222480E1,2.552206990E1,7.144187541E0,1.490000010E0,1.725000000E2,3.790092468E0,2.500000000E0
7.985062888E1,6.498221219E1,2.552207800E1,7.182199710E0,1.450000048E0,1.645000000E2,3.790092468E0,2.500000000E0
8.085466861E1,6.498220022E1,2.552209220E1,7.096127194E0,1.429999948E0,1.571999969E2,3.790092468E0,2.500000000E0
8.185109221E1,6.498218774E1,2.552211096E1,8.426191301E0,1.580000043E0,1.513999939E2,3.790092468E0,2.500000000E0
8.284974830E1,6.498217710E1,2.552213149E1,7.972199260E0,1.429999948E0,1.421999969E2,3.790092468E0,2.500000000E0
8.384986544E1,6.498216685E1,2.552215355E1,7.898090190E0,1.450000048E0,1.383999939E2,3.790092468E0,2.500000000E0
8.485466970E1,6.498215604E1,2.552217559E1,7.778265273E0,1.500000000E0,1.368999939E2,3.790092468E0,2.500000000E0
8.585467007E1,6.498214675E1,2.552220038E1,7.169793938E0,1.440000057E0,1.331999969E2,3.790092468E0,2.500000000E0
8.685428252E1,6.498213757E1,2.552222804E1,7.372052308E0,1.559999943E0,1.308999939E2,3.790092468E0,2.500000000E0
8.784879096E1,6.498212905E1,2.552225688E1,7.798188085E0,1.570000052E0,1.265999985E2,3.790092468E0,2.500000000E0
8.885430424E1,6.498212192E1,2.552228612E1,8.061971580E0,1.519999981E0,1.219000015E2,3.790092468E0,2.500000000E0
8.985391575E1,6.498211363E1,2.552231425E1,9.567941648E0,1.620000005E0,1.291000061E2,3.790092468E0,2.500000000E0
9.085235913E1,6.498210520E1,2.552233934E1,9.097532592E0,1.549999952E0,1.281000061E2,3.790092468E0,2.500000000E0
9.185254330E1,6.498209639E1,2.552236564E1,8.646593240E0,1.600000024E0,1.278000031E2,3.790092468E0,2.500000000E0
9.285173220E1,6.498208729E1,2.552239492E1,8.283787992E0,1.649999976E0,1.239000015E2,3.790092468E0,2.500000000E0
9.384962793E1,6.498207968E1,2.552242431E1,8.095788796E0,1.519999981E0,1.216999969E2,3.790092468E0,2.500000000E0
9.485059408E1,6.498207140E1,2.552245027E1,8.051466190E0,1.519999981E0,1.268000031E2,3.790092468E0,2.500000000E0
9.584790038E1,6.498206234E1,2.552247847E1,7.410462879E0,1.700000048E0,1.253000031E2,3.790092468E0,2.500000000E0
9.685153319E1,6.498205364E1,2.552250636E1,7.292287090E0,1.590000033E0,1.270999985E2,3.790092468E0,2.500000000E0
9.785326278E1,6.498204459E1,2.552253638E1,7.081093118E0,1.549999952E0,1.239000015E2,3.790092468E0,2.500000000E0
9.885467064E1,6.498203627E1,2.552256736E1,6.702175086E0,1.539999962E0,1.213000031E2,3.790092468E0,2.500000000E0
9.985480402E1,6.498202498E1,2.552260664E1,6.085155067E0,2.029999971E0,1.245999985E2,3.790092468E0,2.500000000E0
1.008546711E2,6.498201783E1,2.552265115E1,4.177427739E0,2.039999962E0,1.065999985E2,3.790092468E0,2.500000000E0
1.018546710E2,6.498201337E1,2.552269789E1,3.331897431E0,2.089999914E0,1.045000000E2,3.790092468E0,2.500000000E0
1.028546710E2,6.498200232E1,2.552275336E1,3.671113292E0,2.829999924E0,1.175999985E2,3.790092468E0,2.500000000E0
1.038546713E2,6.498198819E1,2.552280693E1,3.151745009E0,2.759999990E0,1.195000000E2,3.790092468E0,2.500000000E0
1.048546705E2,6.498197498E1,2.552286485E1,3.530570363E0,2.930000067E0,1.160000000E2,3.790092468E0,2.500000000E0
1.058546713E2,6.498196392E1,2.552291815E1,3.869908570E0,2.589999914E0,1.151999969E2,3.790092468E0,2.500000000E0
1.068546711E2,6.498195078E1,2.552297216E1,4.101456671E0,2.890000105E0,1.175000000E2,3.790092468E0,2.500000000E0
1.078518226E2,6.498193612E1,2.552302627E1,4.466792415E0,2.880000114E0,1.204000015E2,3.790092468E0,2.500000000E0
1.088495377E2,6.498192040E1,2.552307600E1,4.385106271E0,2.740000010E0,1.241999969E2,3.790092468E0,2.500000000E0
1.098538612E2,6.498190177E1,2.552312156E1,5.043896498E0,2.730000019E0,1.286999969E2,3.790092468E0,2.500000000E0
1.108534360E2,6.498188123E1,2.552316945E1,5.752733478E0,2.990000010E0,1.305000000E2,3.790092468E0,2.500000000E0
1.118544826E2,6.498185920E1,2.552321568E1,5.999166953E0,3.019999981E0,1.340000000E2,3.790092468E0,2.500000000E0
1.128528373E2,6.498183810E1,2.552326276E1,6.140498637E0,2.950000048E0,1.325000000E2,3.790092468E0,2.500000000E0
1.138533597E2,6.498181732E1,2.552331380E1,6.833893083E0,3.059999943E0,1.308000031E2,3.790092468E0,2.500000000E0
1.148540188E2,6.498179893E1,2.552336348E1,6.862556033E0,2.900000095E0,1.298999939E2,3.790092468E0,2.500000000E0
1.158546699E2,6.498178076E1,2.552340981E1,6.995589745E0,2.819999933E0,1.315000000E2,3.790092468E0,2.500000000E0
1.168546662E2,6.498176102E1,2.552345583E1,6.995138157E0,2.910000086E0,1.315000000E2,3.790092468E0,2.500000000E0
1.178546708E2,6.498174129E1,2.552350186E1,7.241329643E0,2.940000057E0,1.325000000E2,3.790092468E0,2.500000000E0
