"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.917894280E-1,-8.796381950E-2,-2.910041809E-2,-2.221326828E-1
3.966397930E-1,-1.533534527E-1,-1.436710358E-3,-2.714452744E-1
4.014894800E-1,-1.875917912E-1,1.454401016E-2,-2.968883514E-1
4.063399490E-1,-1.983945370E-1,1.913404465E-2,-3.532533646E-1
4.111911990E-1,-1.979122162E-1,1.725530624E-2,-3.338518143E-1
4.160416680E-1,-1.815598011E-1,3.478384018E-2,-3.388099670E-1
4.208912510E-1,-2.060837746E-1,3.585386276E-2,-2.754964828E-1
4.257417720E-1,-1.975436211E-1,6.798648834E-2,-2.369146347E-1
4.305929700E-1,-1.421546936E-1,6.436729431E-2,-2.060794830E-1
4.354434390E-1,-1.207499504E-1,4.894208908E-2,-1.614961624E-1
4.402930220E-1,-7.129049301E-2,4.309988022E-2,-1.458349228E-1
4.451435430E-1,-7.239079475E-2,-7.647514343E-3,-1.541032791E-1
4.499947930E-1,-1.112146378E-1,-1.368045807E-3,-8.400726318E-2
4.548451570E-1,-8.367443085E-2,-1.207733154E-2,-4.069423676E-2
4.596948450E-1,-5.714702606E-2,-2.996444702E-2,-1.092185974E-1
4.645453140E-1,-8.026361465E-3,-1.476907730E-2,-1.605157852E-1
4.693965640E-1,4.216384888E-2,-3.767728806E-2,-2.138128281E-1
4.742470320E-1,-4.742097855E-2,-5.106973648E-2,-1.218824387E-1
4.790966160E-1,-1.302182674E-1,8.794307709E-3,2.394676208E-2
4.839471370E-1,-1.119282246E-1,1.138210297E-3,2.660846710E-2
4.887983350E-1,-6.048297882E-2,-2.325868607E-2,-1.794147491E-2
4.936488030E-1,-4.004859924E-2,-4.749488831E-2,-5.002498627E-2
4.984983870E-1,-7.629609108E-2,-9.311056137E-2,-2.702426910E-2
5.033489070E-1,-1.899845600E-1,-2.214941978E-1,2.205944061E-2
5.082001570E-1,-2.804932594E-1,-2.281386852E-1,1.207971573E-1
5.130505220E-1,-2.535734177E-1,-1.996002197E-1,1.359195709E-1
5.179002100E-1,-1.959316730E-1,-1.811444759E-1,4.920291901E-2
5.227506780E-1,-1.553497314E-1,-1.888756752E-1,-6.271839142E-2
5.276019280E-1,-1.125378609E-1,-1.440992355E-1,-1.214504242E-1
5.324523970E-1,-1.409928799E-1,-1.112847328E-1,-1.607332230E-1
5.373019800E-1,-1.975786686E-1,-1.163835526E-1,-2.140245438E-1
5.421525010E-1,-2.442283630E-1,-9.020519257E-2,-2.385892868E-1
5.470036990E-1,-2.670938969E-1,-6.381273270E-2,-2.703838348E-1
5.518541680E-1,-3.541417122E-1,-1.796846390E-1,-2.807931900E-1
5.567038030E-1,-3.601174355E-1,-1.590340137E-1,-2.486705780E-1
5.615542720E-1,-2.856764793E-1,-1.099500656E-1,-2.288818359E-1
5.664055220E-1,-2.314791679E-1,-1.111183167E-1,-2.853775024E-1
5.712559910E-1,-1.949846745E-1,-1.288537979E-1,-3.012399673E-1
5.761055740E-1,-1.997539997E-1,-1.533362865E-1,-3.338670731E-1
5.809560430E-1,-2.287302017E-1,-1.586875916E-1,-3.260097504E-1
5.858072930E-1,-2.722620964E-1,-1.806707382E-1,-3.587188721E-1
5.906577620E-1,-2.854413986E-1,-1.503016949E-1,-3.534288406E-1
5.955073450E-1,-3.064815998E-1,-1.534013748E-1,-3.532085419E-1
6.003578660E-1,-3.091082573E-1,-1.304764748E-1,-3.128261566E-1
6.052091160E-1,-2.768397331E-1,-1.363232136E-1,-2.990779877E-1
6.100594800E-1,-2.691304684E-1,-1.231036186E-1,-2.523918152E-1
6.149091680E-1,-2.165975571E-1,-1.148533821E-1,-2.061128616E-1
6.197596370E-1,-2.242293358E-1,-1.042752266E-1,-2.458057404E-1
6.246108870E-1,-2.203648090E-1,-8.638381958E-2,-2.284307480E-1
6.294613550E-1,-1.430890560E-1,-3.278636932E-2,-1.828546524E-1
6.343109390E-1,-1.184613705E-1,2.314996719E-2,-2.042474747E-1
6.391614600E-1,-1.081097126E-1,2.222776413E-2,-1.639471054E-1
6.440126570E-1,-7.479882240E-2,7.400989532E-3,-1.931667328E-1
6.488631260E-1,-8.253502846E-2,2.382802963E-2,-1.630096436E-1
6.537127100E-1,-5.873060226E-2,9.011793137E-2,-8.074855804E-2
6.585632300E-1,2.287197113E-2,9.901762009E-2,-4.642772675E-2
6.634144800E-1,6.700444221E-2,1.150698662E-1,-3.821277618E-2
6.682648450E-1,9.979820251E-2,1.453309059E-1,-7.021522522E-2
6.731145320E-1,7.100343704E-2,1.160192490E-1,-1.160869598E-1
6.779650010E-1,3.081202507E-2,1.153068542E-1,-1.092090607E-1
6.828162510E-1,1.949787140E-2,1.477174759E-1,-1.521625519E-1
6.876667200E-1,1.989579201E-2,1.987795830E-1,-1.757888794E-1
6.925163030E-1,4.852485657E-2,2.162904739E-1,-2.064504623E-1
6.973668240E-1,6.973886490E-2,2.265419960E-1,-2.416114807E-1
7.022180220E-1,1.285791397E-1,2.700204849E-1,-2.646818161E-1
7.070684910E-1,1.581737995E-1,2.517557144E-1,-3.020238876E-1
7.119181260E-1,1.707711220E-1,2.197046280E-1,-3.320980072E-1
7.167685950E-1,1.948661804E-1,2.097892761E-1,-3.527145386E-1
7.216198450E-1,1.403541565E-1,1.720442772E-1,-3.401918411E-1
7.264702100E-1,1.669621468E-1,1.636791229E-1,-3.185443878E-1
7.313198970E-1,1.482627392E-1,1.510953903E-1,-2.996444702E-1
7.361703660E-1,1.344561577E-1,1.224989891E-1,-2.858695984E-1
7.410216160E-1,1.390285492E-1,9.926033020E-2,-3.200302124E-1
7.458720850E-1,1.621668339E-1,6.697320938E-2,-3.184881210E-1
7.507216680E-1,1.450595856E-1,4.954338074E-2,-2.505416870E-1
7.555721890E-1,1.387400627E-1,8.017826080E-2,-1.308269501E-1
7.604234390E-1,1.855951548E-1,1.108908653E-1,-1.378526688E-1
7.652738030E-1,2.323392630E-1,1.178593636E-1,-1.709651947E-1
7.701234910E-1,3.168524504E-1,1.725296974E-1,-1.563844681E-1
7.749739600E-1,3.555341959E-1,2.579274178E-1,-1.776666641E-1
7.798252100E-1,3.889385462E-1,3.240270615E-1,-2.346010208E-1
7.846756780E-1,4.435652494E-1,3.118252754E-1,-3.007774353E-1
7.895252620E-1,4.790645838E-1,2.506847382E-1,-4.117832184E-1
7.943757820E-1,3.709062338E-1,2.692985535E-1,-3.082313538E-1
7.992270320E-1,3.382767439E-1,2.577040195E-1,-3.267269135E-1
