"event","experiment time","system time","system time text"
"START",0.000000000E0,1729352684.145,"2024-10-19 18:44:44.145 UTC+03:00"
"PAUSE",3.313264868E2,1729353015.471,"2024-10-19 18:50:15.471 UTC+03:00"
